team,type,subtype,session,start_frame,start_time,end_frame,end_time,from,to,start_x,start_y,end_x,end_y,phase
Away,SET PIECE,KICK OFF,1,1,0.1,0,0.0,B19,,,,,,1
Away,PASS,PASS,1,1,0.1,2,0.2,B19,B21,0.45,0.39,0.55,0.43,1
Away,PASS,PASS,1,2,0.2,7,0.7,B21,B15,0.55,0.43,0.58,0.21,1
Away,PASS,PASS,1,18,1.8,25,2.5,B15,B19,0.55,0.19,0.45,0.31,1
Away,PASS,PASS,1,31,3.1,39,3.9,B19,B21,0.45,0.32,0.49,0.47,1
Away,PASS,PASS,1,77,7.7,87,8.7,B21,B22,0.4,0.73,0.32,0.98,1
Away,PASS,PASS,1,112,11.2,122,12.2,B22,B17,0.39,0.96,0.49,0.98,1
Away,BALL LOST,INTERCEPTION,1,139,13.9,152,15.2,B17,,0.51,0.97,0.27,0.75,1
Home,RECOVERY,INTERCEPTION,1,152,15.2,152,15.2,A02,,0.27,0.78,,,1
Home,BALL LOST,INTERCEPTION,1,152,15.2,181,18.1,A02,,0.27,0.78,0.59,0.64,1
Away,RECOVERY,INTERCEPTION,1,182,18.2,182,18.2,B16,,0.57,0.67,,,1
Away,BALL LOST,HEAD-INTERCEPTION,1,182,18.2,199,19.9,B16,,0.57,0.67,0.33,0.65,1
Away,CHALLENGE,AERIAL-LOST,1,199,19.9,199,19.9,B18,,0.38,0.67,,,1
Home,CHALLENGE,AERIAL-WON,1,200,20.0,200,20.0,A02,,0.36,0.67,,,1
Home,RECOVERY,INTERCEPTION,1,200,20.0,200,20.0,A02,,0.36,0.67,,,1
Home,PASS,HEAD,1,200,20.0,215,21.5,A02,A09,0.36,0.67,0.53,0.59,1
Home,PASS,PASS,1,215,21.5,223,22.3,A09,A10,0.53,0.59,0.5,0.65,1
Home,BALL LOST,INTERCEPTION,1,229,22.9,247,24.7,A10,,0.5,0.65,0.67,0.44,1
Away,RECOVERY,INTERCEPTION,1,248,24.8,248,24.8,B16,,0.64,0.46,,,1
Away,PASS,PASS,1,306,30.6,314,31.4,B16,B19,0.58,0.27,0.51,0.33,1
Away,PASS,PASS,1,314,31.4,322,32.2,B19,B20,0.51,0.33,0.57,0.47,1
Away,PASS,PASS,1,334,33.4,353,35.3,B20,B22,0.53,0.53,0.44,0.92,1
Away,PASS,PASS,1,391,39.1,404,40.4,B22,B17,0.36,0.96,0.48,0.86,1
Away,BALL LOST,INTERCEPTION,1,444,44.4,454,45.4,B17,,0.42,0.79,0.31,0.84,1
Home,RECOVERY,INTERCEPTION,1,454,45.4,454,45.4,A05,,0.32,0.89,,,1
Home,PASS,HEAD,1,454,45.4,462,46.2,A05,A06,0.32,0.89,0.31,0.78,1
Home,PASS,PASS,1,462,46.2,471,47.1,A06,A10,0.31,0.78,0.41,0.74,1
Home,PASS,PASS,1,491,49.1,507,50.7,A10,A08,0.46,0.68,0.56,0.34,1
Home,BALL LOST,INTERCEPTION,1,548,54.8,550,55.0,A08,,0.86,0.26,0.88,0.28,1
Away,RECOVERY,INTERCEPTION,1,550,55.0,550,55.0,B15,,0.87,0.29,,,1
Away,BALL OUT,BALL OUT,1,550,55.0,570,57.0,B15,,0.87,0.29,1.05,0.17,1
Home,SET PIECE,CORNER KICK,1,858,85.8,858,85.8,A06,,,,,,1
Home,PASS,PASS,1,858,85.8,874,87.4,A06,A10,1.0,0.01,0.9,0.09,1
Home,PASS,CROSS,1,906,90.6,916,91.6,A10,A09,0.89,0.14,0.92,0.47,1
Home,SHOT,HEAD-ON TARGET-GOAL,1,916,91.6,924,92.4,A09,,0.92,0.47,1.01,0.55,1
Away,SET PIECE,KICK OFF,1,1470,147.0,1470,147.0,B19,,,,,,1
Away,PASS,PASS,1,1470,147.0,1482,148.2,B19,B21,0.49,0.5,0.58,0.52,1
Away,PASS,PASS,1,1512,151.2,1522,152.2,B21,B20,0.57,0.53,0.58,0.73,1
Away,PASS,PASS,1,1532,153.2,1542,154.2,B20,B22,0.57,0.76,0.52,0.98,1
Away,PASS,PASS,1,1553,155.3,1563,156.3,B22,B17,0.55,0.95,0.69,0.87,1
Away,PASS,PASS,1,1572,157.2,1598,159.8,B17,B25,0.71,0.86,0.93,0.55,1
Away,BALL OUT,BALL OUT,1,1638,163.8,1666,166.6,B25,,0.93,0.56,0.49,1.04,1
Home,SET PIECE,THROW IN,1,1755,175.5,1755,175.5,A01,,,,,,1
Home,PASS,PASS,1,1755,175.5,1778,177.8,A01,A10,0.49,1.01,0.55,0.84,1
Home,BALL LOST,BALL LOST,1,1778,177.8,1782,178.2,A10,,0.55,0.84,0.57,0.78,1
Away,RECOVERY,RECOVERY,1,1781,178.1,1781,178.1,B19,,0.56,0.82,,,1
Away,BALL LOST,INTERCEPTION,1,1796,179.6,1808,180.8,B19,,0.54,0.87,0.48,0.85,1
Home,RECOVERY,INTERCEPTION,1,1807,180.7,1807,180.7,A01,,0.5,0.87,,,1
Home,BALL LOST,INTERCEPTION,1,1848,184.8,1872,187.2,A01,,0.37,0.97,0.65,0.92,1
Away,RECOVERY,INTERCEPTION,1,1872,187.2,1872,187.2,B17,,0.62,0.92,,,1
Away,BALL LOST,INTERCEPTION,1,1884,188.4,1900,190.0,B17,,0.6,0.95,0.36,0.78,1
Home,RECOVERY,INTERCEPTION,1,1901,190.1,1901,190.1,A07,,0.39,0.78,,,1
Home,BALL OUT,BALL OUT,1,1901,190.1,1935,193.5,A07,,0.39,0.78,0.67,1.03,1
Away,SET PIECE,THROW IN,1,2023,202.3,2023,202.3,B22,,,,,,1
Away,PASS,PASS,1,2023,202.3,2033,203.3,B22,B19,0.58,1.01,0.57,0.89,1
Away,BALL LOST,INTERCEPTION,1,2033,203.3,2060,206.0,B19,,0.57,0.89,0.25,0.84,1
Home,RECOVERY,INTERCEPTION,1,2060,206.0,2060,206.0,A02,,0.24,0.82,,,1
Home,PASS,PASS,1,2060,206.0,2081,208.1,A02,A01,0.24,0.82,0.32,0.89,1
Home,BALL LOST,INTERCEPTION,1,2081,208.1,2092,209.2,A01,,0.32,0.89,0.33,0.84,1
Home,CHALLENGE,GROUND-LOST,1,2092,209.2,2092,209.2,A06,,0.36,0.82,,,1
Away,CHALLENGE,GROUND-WON,1,2092,209.2,2092,209.2,B19,,0.36,0.83,,,1
Away,RECOVERY,INTERCEPTION,1,2092,209.2,2092,209.2,B19,,0.36,0.83,,,1
Away,BALL LOST,BALL LOST,1,2092,209.2,2106,210.6,B19,,0.36,0.83,0.28,0.83,1
Home,RECOVERY,INTERCEPTION,1,2106,210.6,2106,210.6,A01,,0.29,0.85,,,1
Home,BALL LOST,INTERCEPTION,1,2127,212.7,2154,215.4,A01,,0.26,0.96,0.64,0.88,1
Away,RECOVERY,INTERCEPTION,1,2154,215.4,2154,215.4,B17,,0.59,0.89,,,1
Away,PASS,HEAD,1,2154,215.4,2165,216.5,B17,B20,0.59,0.89,0.54,0.85,1
Away,PASS,PASS,1,2173,217.3,2189,218.9,B20,B18,0.55,0.83,0.45,0.5,1
Away,BALL LOST,BALL LOST,1,2203,220.3,2207,220.7,B18,,0.38,0.47,0.28,0.41,1
Home,RECOVERY,RECOVERY,1,2208,220.8,2208,220.8,A04,,0.3,0.43,,,1
Home,BALL LOST,INTERCEPTION,1,2208,220.8,2220,222.0,A04,,0.3,0.43,0.28,0.52,1
Away,RECOVERY,INTERCEPTION,1,2220,222.0,2220,222.0,B18,,0.29,0.49,,,1
Home,CHALLENGE,TACKLE-WON,1,2251,225.1,2251,225.1,A01,,0.14,0.6,,,1
Home,RECOVERY,THEFT,1,2251,225.1,2251,225.1,A01,,0.14,0.6,,,1
Home,PASS,PASS,1,2251,225.1,2266,226.6,A01,A02,0.14,0.6,0.18,0.53,1
Away,CHALLENGE,TACKLE-LOST,1,2252,225.2,2252,225.2,B18,,0.15,0.56,,,1
Away,BALL LOST,THEFT,1,2252,225.2,2252,225.2,B18,,0.15,0.56,,,1
Home,PASS,PASS,1,2266,226.6,2274,227.4,A02,A08,0.18,0.53,0.24,0.4,1
Home,PASS,PASS,1,2305,230.5,2324,232.4,A08,A10,0.39,0.29,0.6,0.09,1
Home,SHOT,OFF TARGET-OUT,1,2370,237.0,2382,238.2,A10,,0.84,0.27,1.04,0.6,1
Away,RECOVERY,RECOVERY,1,2674,267.4,2674,267.4,B25,,0.95,0.45,,,1
Away,PASS,GOAL KICK,1,2674,267.4,2712,271.2,B25,B18,0.95,0.45,0.53,0.04,1
Away,BALL LOST,HEAD,1,2712,271.2,2738,273.8,B18,,0.53,0.04,0.57,0.31,1
Home,RECOVERY,RECOVERY,1,2738,273.8,2738,273.8,A06,,0.54,0.3,,,1
Away,CHALLENGE,GROUND-WON,1,2746,274.6,2746,274.6,B21,,0.53,0.29,,,1
Away,RECOVERY,INTERCEPTION,1,2746,274.6,2746,274.6,B21,,0.53,0.29,,,1
Away,PASS,PASS,1,2746,274.6,2755,275.5,B21,B20,0.53,0.29,0.54,0.37,1
Home,BALL LOST,INTERCEPTION,1,2746,274.6,2754,275.4,A06,,0.54,0.3,0.55,0.37,1
Away,PASS,PASS,1,2762,276.2,2779,277.9,B20,B22,0.52,0.41,0.46,0.78,1
Away,BALL LOST,CROSS-INTERCEPTION,1,2795,279.5,2818,281.8,B22,,0.38,0.84,0.08,0.4,1
Home,CHALLENGE,GROUND-WON,1,2817,281.7,2817,281.7,A03,,0.1,0.42,,,1
Home,RECOVERY,INTERCEPTION,1,2817,281.7,2817,281.7,A03,,0.1,0.42,,,1
Home,PASS,PASS,1,2817,281.7,2860,286.0,A03,A04,0.1,0.42,0.03,0.03,1
Away,CHALLENGE,GROUND-LOST,1,2818,281.8,2818,281.8,B24,,0.1,0.39,,,1
Home,BALL LOST,BALL LOST,1,2880,288.0,2882,288.2,A04,,0.1,0.01,0.14,0.02,1
Away,RECOVERY,RECOVERY,1,2882,288.2,2882,288.2,B18,,0.13,0.01,,,1
Away,PASS,PASS,1,2882,288.2,2907,290.7,B18,B21,0.13,0.01,0.2,0.11,1
Away,PASS,PASS,1,2907,290.7,2916,291.6,B21,B18,0.2,0.11,0.18,0.04,1
Away,PASS,PASS,1,2934,293.4,2955,295.5,B18,B15,0.24,0.02,0.38,0.08,1
Away,PASS,PASS,1,2962,296.2,2971,297.1,B15,B23,0.38,0.08,0.25,0.21,1
Away,BALL LOST,BALL LOST,1,2986,298.6,2988,298.8,B23,,0.23,0.26,0.21,0.26,1
Home,RECOVERY,RECOVERY,1,2989,298.9,2989,298.9,A03,,0.2,0.29,,,1
Home,BALL LOST,BALL LOST,1,2989,298.9,3008,300.8,A03,,0.2,0.29,0.26,0.26,1
Away,RECOVERY,RECOVERY,1,3008,300.8,3008,300.8,B19,,0.26,0.29,,,1
Away,PASS,PASS,1,3008,300.8,3023,302.3,B19,B18,0.26,0.29,0.29,0.07,1
Away,PASS,PASS,1,3042,304.2,3053,305.3,B18,B19,0.29,0.07,0.3,0.24,1
Away,CHALLENGE,TACKLE-LOST,1,3080,308.0,3080,308.0,B19,,0.24,0.22,,,1
Away,BALL LOST,THEFT,1,3080,308.0,3080,308.0,B19,,0.24,0.22,,,1
Home,CHALLENGE,TACKLE-LOST,1,3080,308.0,3080,308.0,A08,,0.22,0.17,,,1
Away,RECOVERY,RECOVERY,1,3090,309.0,3090,309.0,B21,,0.19,0.27,,,1
Away,SHOT,OFF TARGET-OUT,1,3102,310.2,3116,311.6,B21,,0.2,0.3,-0.04,0.65,1
Home,RECOVERY,RECOVERY,1,3393,339.3,3393,339.3,A11,,0.04,0.52,,,1
Home,BALL LOST,GOAL KICK-INTERCEPTION,1,3393,339.3,3431,343.1,A11,,0.04,0.52,0.64,0.38,1
Away,CHALLENGE,AERIAL-WON,1,3431,343.1,3431,343.1,B15,,0.62,0.36,,,1
Away,RECOVERY,INTERCEPTION,1,3431,343.1,3431,343.1,B15,,0.62,0.36,,,1
Away,BALL LOST,HEAD,1,3431,343.1,3432,343.2,B15,,0.62,0.36,0.63,0.36,1
Home,RECOVERY,RECOVERY,1,3433,343.3,3433,343.3,A10,,0.6,0.37,,,1
Home,BALL LOST,HEAD,1,3433,343.3,3461,346.1,A10,,0.6,0.37,0.68,0.35,1
Away,RECOVERY,RECOVERY,1,3460,346.0,3460,346.0,B15,,0.66,0.35,,,1
Away,PASS,HEAD,1,3460,346.0,3475,347.5,B15,B16,0.66,0.35,0.75,0.38,1
Away,BALL LOST,BALL LOST,1,3475,347.5,3494,349.4,B16,,0.75,0.38,0.64,0.28,1
Home,RECOVERY,RECOVERY,1,3494,349.4,3494,349.4,A08,,0.64,0.23,,,1
Home,BALL OUT,BALL OUT,1,3502,350.2,3538,353.8,A08,,0.65,0.21,0.74,-0.04,1
Away,SET PIECE,THROW IN,1,3548,354.8,3548,354.8,B18,,,,,,1
Away,PASS,PASS,1,3548,354.8,3557,355.7,B18,B19,0.77,-0.01,0.72,0.1,1
Away,BALL LOST,INTERCEPTION,1,3575,357.5,3628,362.8,B19,,0.71,0.11,0.08,0.17,1
Home,RECOVERY,INTERCEPTION,1,3628,362.8,3628,362.8,A03,,0.09,0.14,,,1
Home,BALL OUT,BALL OUT,1,3640,364.0,3651,365.1,A03,,0.02,0.1,0.05,-0.04,1
Away,SET PIECE,THROW IN,1,3686,368.6,3686,368.6,B23,,,,,,1
Away,PASS,PASS,1,3686,368.6,3702,370.2,B23,B18,0.06,0.0,0.22,0.06,1
Away,PASS,PASS,1,3723,372.3,3735,373.5,B18,B19,0.18,0.11,0.24,0.3,1
Away,BALL LOST,INTERCEPTION,1,3735,373.5,3743,374.3,B19,,0.24,0.3,0.24,0.39,1
Home,RECOVERY,INTERCEPTION,1,3742,374.2,3742,374.2,A06,,0.22,0.36,,,1
Home,PASS,PASS,1,3756,375.6,3777,377.7,A06,A10,0.29,0.38,0.55,0.13,1
Home,PASS,DEEP BALL,1,3840,384.0,3852,385.2,A10,A08,0.87,0.29,0.96,0.37,1
Home,SHOT,ON TARGET-SAVED,1,3852,385.2,3853,385.3,A08,,0.96,0.37,0.98,0.46,1
Away,RECOVERY,SAVED,1,3854,385.4,3854,385.4,B25,,0.97,0.44,,,1
Away,BALL OUT,BALL OUT,1,3854,385.4,3866,386.6,B25,,0.97,0.44,1.03,0.33,1
Home,SET PIECE,CORNER KICK,1,4155,415.5,4155,415.5,A06,,,,,,1
Home,PASS,PASS,1,4155,415.5,4168,416.8,A06,A10,0.99,0.01,0.94,0.09,1
Home,PASS,PASS,1,4182,418.2,4191,419.1,A10,A06,0.94,0.09,0.87,0.1,1
Home,PASS,PASS,1,4198,419.8,4211,421.1,A06,A05,0.86,0.11,0.78,0.36,1
Home,PASS,PASS,1,4221,422.1,4240,424.0,A05,A07,0.79,0.36,0.74,0.64,1
Home,BALL LOST,INTERCEPTION,1,4246,424.6,4261,426.1,A07,,0.75,0.65,0.92,0.46,1
Away,RECOVERY,INTERCEPTION,1,4262,426.2,4262,426.2,B15,,0.91,0.47,,,1
Away,BALL LOST,HEAD-INTERCEPTION,1,4262,426.2,4284,428.4,B15,,0.91,0.47,0.83,0.52,1
Home,CHALLENGE,AERIAL-WON,1,4284,428.4,4284,428.4,A08,,0.83,0.51,,,1
Home,RECOVERY,INTERCEPTION,1,4284,428.4,4284,428.4,A08,,0.83,0.51,,,1
Home,PASS,HEAD,1,4284,428.4,4297,429.7,A08,A03,0.83,0.51,0.83,0.54,1
Away,CHALLENGE,AERIAL-LOST,1,4284,428.4,4284,428.4,B22,,0.84,0.51,,,1
Home,BALL LOST,HEAD-INTERCEPTION,1,4297,429.7,4305,430.5,A03,,0.83,0.54,0.87,0.45,1
Away,RECOVERY,INTERCEPTION,1,4305,430.5,4305,430.5,B15,,0.86,0.47,,,1
Away,BALL LOST,HEAD-FORCED,1,4305,430.5,4321,432.1,B15,,0.86,0.47,0.78,0.65,1
Home,CHALLENGE,AERIAL-FAULT-LOST,1,4321,432.1,4321,432.1,A02,,0.76,0.65,,,1
Away,CHALLENGE,AERIAL-FAULT-WON,1,4321,432.1,4321,432.1,B21,,0.76,0.65,,,1
Away,SET PIECE,FREE KICK,1,4635,463.5,4635,463.5,B25,,,,,,1
Away,PASS,PASS,1,4635,463.5,4648,464.8,B25,B17,0.78,0.55,0.7,0.79,1
Away,PASS,PASS,1,4670,467.0,4681,468.1,B17,B22,0.65,0.83,0.57,0.97,1
Away,PASS,PASS,1,4691,469.1,4706,470.6,B22,B20,0.58,0.94,0.54,0.73,1
Away,PASS,PASS,1,4716,471.6,4725,472.5,B20,B19,0.53,0.71,0.5,0.52,1
Away,PASS,PASS,1,4733,473.3,4745,474.5,B19,B24,0.5,0.55,0.39,0.4,1
Away,PASS,PASS,1,4753,475.3,4768,476.8,B24,B18,0.39,0.41,0.32,0.1,1
Away,BALL LOST,CROSS-INTERCEPTION,1,4795,479.5,4813,481.3,B18,,0.22,0.12,0.03,0.61,1
Home,RECOVERY,INTERCEPTION,1,4814,481.4,4814,481.4,A01,,0.04,0.62,,,1
Home,BALL OUT,HEAD-CLEARANCE,1,4814,481.4,4819,481.9,A01,,0.04,0.62,-0.05,0.71,1
Away,SET PIECE,CORNER KICK,1,5055,505.5,5055,505.5,B21,,,,,,1
Away,BALL OUT,BALL OUT,1,5055,505.5,5081,508.1,B21,,0.01,0.95,-0.03,0.34,1
Home,RECOVERY,RECOVERY,1,5418,541.8,5418,541.8,A11,,0.04,0.44,,,1
Home,PASS,GOAL KICK,1,5418,541.8,5450,545.0,A11,A05,0.04,0.44,0.5,0.86,1
Home,PASS,PASS,1,5450,545.0,5457,545.7,A05,A01,0.5,0.86,0.42,0.84,1
Home,BALL LOST,INTERCEPTION,1,5469,546.9,5481,548.1,A01,,0.41,0.85,0.63,0.86,1
Away,RECOVERY,INTERCEPTION,1,5481,548.1,5481,548.1,B17,,0.57,0.86,,,1
Away,BALL LOST,BALL LOST,1,5481,548.1,5495,549.5,B17,,0.57,0.86,0.48,0.82,1
Home,RECOVERY,RECOVERY,1,5496,549.6,5496,549.6,A06,,0.48,0.79,,,1
Home,BALL LOST,INTERCEPTION,1,5496,549.6,5507,550.7,A06,,0.48,0.79,0.68,0.53,1
Away,RECOVERY,INTERCEPTION,1,5507,550.7,5507,550.7,B15,,0.64,0.55,,,1
Away,BALL LOST,BALL LOST,1,5507,550.7,5526,552.6,B15,,0.64,0.55,0.76,0.52,1
Home,RECOVERY,RECOVERY,1,5526,552.6,5526,552.6,A09,,0.73,0.56,,,1
Home,CHALLENGE,TACKLE-LOST,1,5538,553.8,5538,553.8,A09,,0.8,0.52,,,1
Home,BALL LOST,THEFT,1,5538,553.8,5538,553.8,A09,,0.8,0.52,,,1
Away,CHALLENGE,TACKLE-WON,1,5538,553.8,5538,553.8,B16,,0.81,0.53,,,1
Away,RECOVERY,THEFT,1,5538,553.8,5538,553.8,B16,,0.81,0.53,,,1
Away,BALL OUT,CLEARANCE,1,5555,555.5,5595,559.5,B16,,0.89,0.48,0.96,-0.04,1
Home,SET PIECE,THROW IN,1,5830,583.0,5830,583.0,A04,,,,,,1
Home,PASS,PASS,1,5830,583.0,5843,584.3,A04,A09,0.86,-0.02,0.96,0.1,1
Home,PASS,PASS,1,5843,584.3,5855,585.5,A09,A04,0.96,0.1,0.83,0.01,1
Home,PASS,PASS,1,5855,585.5,5867,586.7,A04,A08,0.83,0.01,0.92,0.21,1
Home,BALL LOST,INTERCEPTION,1,5892,589.2,5897,589.7,A08,,0.97,0.28,0.92,0.4,1
Away,RECOVERY,INTERCEPTION,1,5897,589.7,5897,589.7,B21,,0.93,0.39,,,1
Away,PASS,PASS,1,5909,590.9,5918,591.8,B21,B19,0.91,0.35,0.83,0.31,1
Away,PASS,PASS,1,5918,591.8,5926,592.6,B19,B16,0.83,0.31,0.92,0.37,1
Away,PASS,PASS,1,5934,593.4,5948,594.8,B16,B21,0.91,0.35,0.8,0.12,1
Away,PASS,PASS,1,5948,594.8,5956,595.6,B21,B18,0.8,0.12,0.83,0.13,1
Away,PASS,PASS,1,5956,595.6,5970,597.0,B18,B24,0.83,0.13,0.59,0.12,1
Away,BALL LOST,BALL LOST,1,5987,598.7,6019,601.9,B24,,0.58,0.04,0.31,0.06,1
Home,RECOVERY,RECOVERY,1,6018,601.8,6018,601.8,A02,,0.33,0.13,,,1
Home,PASS,PASS,1,6018,601.8,6044,604.4,A02,A11,0.33,0.13,0.16,0.43,1
Home,BALL LOST,INTERCEPTION,1,6061,606.1,6090,609.0,A11,,0.16,0.52,0.57,0.87,1
Away,CHALLENGE,AERIAL-WON,1,6089,608.9,6089,608.9,B17,,0.54,0.84,,,1
Away,RECOVERY,INTERCEPTION,1,6089,608.9,6089,608.9,B17,,0.54,0.84,,,1
Away,BALL LOST,HEAD,1,6089,608.9,6108,610.8,B17,,0.54,0.84,0.39,0.91,1
Home,CHALLENGE,AERIAL-LOST,1,6090,609.0,6090,609.0,A05,,0.53,0.84,,,1
Home,RECOVERY,RECOVERY,1,6108,610.8,6108,610.8,A01,,0.41,0.91,,,1
Home,PASS,PASS,1,6120,612.0,6135,613.5,A01,A05,0.44,0.98,0.52,0.94,1
Away,RECOVERY,INTERCEPTION,1,6120,612.0,6120,612.0,B22,,0.46,0.98,,,1
Away,BALL LOST,BALL LOST,1,6120,612.0,6135,613.5,B22,,0.46,0.98,0.57,0.91,1
Home,PASS,PASS,1,6146,614.6,6152,615.2,A05,A09,0.56,0.96,0.6,0.88,1
Home,PASS,PASS,1,6168,616.8,6172,617.2,A09,A05,0.64,0.88,0.7,0.88,1
Home,BALL LOST,BALL LOST,1,6172,617.2,6186,618.6,A05,,0.7,0.88,0.81,0.71,1
Away,RECOVERY,RECOVERY,1,6185,618.5,6185,618.5,B16,,0.79,0.71,,,1
Away,PASS,PASS,1,6190,619.0,6209,620.9,B16,B25,0.8,0.71,0.94,0.61,1
Away,BALL LOST,BALL LOST,1,6209,620.9,6259,625.9,B25,,0.94,0.61,0.44,0.34,1
Home,RECOVERY,INTERCEPTION,1,6259,625.9,6259,625.9,A04,,0.46,0.34,,,1
Home,PASS,HEAD,1,6259,625.9,6276,627.6,A04,A03,0.46,0.34,0.39,0.46,1
Home,CHALLENGE,GROUND-FAULT-WON,1,6276,627.6,6276,627.6,A03,,0.39,0.46,,,1
Home,FAULT RECEIVED,FAULT RECEIVED,1,6276,627.6,6276,627.6,A03,,0.39,0.46,,,1
Away,CHALLENGE,GROUND-FAULT-LOST,1,6276,627.6,6276,627.6,B24,,0.4,0.46,,,1
Home,SET PIECE,FREE KICK,1,6367,636.7,6367,636.7,A03,,,,,,1
Home,PASS,PASS,1,6367,636.7,6390,639.0,A03,A01,0.34,0.44,0.43,0.91,1
Home,PASS,PASS,1,6418,641.8,6427,642.7,A01,A06,0.52,0.91,0.54,0.73,1
Home,PASS,PASS,1,6427,642.7,6438,643.8,A06,A01,0.54,0.73,0.53,0.9,1
Home,PASS,PASS,1,6438,643.8,6454,645.4,A01,A02,0.53,0.9,0.35,0.8,1
Home,PASS,PASS,1,6465,646.5,6478,647.8,A02,A03,0.35,0.79,0.3,0.53,1
Home,PASS,PASS,1,6490,649.0,6501,650.1,A03,A06,0.29,0.57,0.47,0.67,1
Home,PASS,PASS,1,6501,650.1,6522,652.2,A06,A04,0.47,0.67,0.41,0.22,1
Home,PASS,PASS,1,6533,653.3,6544,654.4,A04,A10,0.44,0.22,0.53,0.27,1
Home,PASS,PASS,1,6554,655.4,6570,657.0,A10,A08,0.56,0.24,0.69,0.03,1
Home,BALL LOST,BALL LOST,1,6586,658.6,6588,658.8,A08,,0.77,0.07,0.78,0.14,1
Away,RECOVERY,INTERCEPTION,1,6589,658.9,6589,658.9,B15,,0.8,0.13,,,1
Away,BALL OUT,BALL OUT,1,6589,658.9,6618,661.8,B15,,0.8,0.13,1.03,0.2,1
Home,SET PIECE,CORNER KICK,1,6911,691.1,6911,691.1,A06,,,,,,1
Home,BALL LOST,INTERCEPTION,1,6911,691.1,6928,692.8,A06,,1.01,0.01,0.93,0.53,1
Away,RECOVERY,INTERCEPTION,1,6927,692.7,6927,692.7,B19,,0.94,0.51,,,1
Away,BALL OUT,HEAD,1,6927,692.7,6941,694.1,B19,,0.94,0.51,1.04,0.67,1
Home,SET PIECE,CORNER KICK,1,7282,728.2,7282,728.2,A06,,,,,,1
Home,PASS,PASS,1,7282,728.2,7301,730.1,A06,A03,0.94,0.99,0.89,0.46,1
Home,CHALLENGE,AERIAL-WON,1,7301,730.1,7301,730.1,A03,,0.89,0.46,,,1
Home,PASS,HEAD,1,7301,730.1,7308,730.8,A03,A08,0.89,0.46,0.94,0.55,1
Away,CHALLENGE,AERIAL-LOST,1,7301,730.1,7301,730.1,B17,,0.89,0.47,,,1
Home,SHOT,HEAD-OFF TARGET-OUT,1,7308,730.8,7321,732.1,A08,,0.94,0.55,1.03,0.61,1
Away,RECOVERY,RECOVERY,1,7424,742.4,7424,742.4,B25,,0.96,0.6,,,1
Away,PASS,GOAL KICK,1,7424,742.4,7443,744.3,B25,B17,0.96,0.6,0.84,0.92,1
Away,PASS,PASS,1,7490,749.0,7502,750.2,B17,B22,0.67,0.86,0.6,0.99,1
Away,PASS,PASS,1,7518,751.8,7526,752.6,B22,B17,0.61,0.96,0.71,0.91,1
